Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2024,Kia,Niro Plug-in Hybrid,Sport utility vehicle: Small,55,2.8,4.8,781,42,10.0,7.0
2024,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,51,3.4,6.9,681,65,9.0,7.0
2024,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,55,2.0,6.7,632,60,10.0,7.0
2024,Lamborghini,Revuelto,Two-seater,8,2.0,19.9,365,472,1.0,3.0
2024,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,61,4.5,6.6,835,54,10.0,7.0
2024,Lexus,RX 450h+ AWD,Sport utility vehicle: Standard,60,2.5,6.7,818,55,10.0,7.0
2024,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,45,3.4,7.1,642,74,9.0,8.0
2024,Mazda,CX-90 PHEV 4WD,Sport utility vehicle: Standard,42,2.1,9.4,747,105,8.0,7.0
2024,Mercedes-Benz,AMG C 63 S E Performance,Compact,11,1.5,11.2,539,217,5.0,5.0
2024,Mercedes-Benz,AMG GT 63 S E Performance,Compact,18,1.25,13.1,546,259,4.0,5.0
2024,Mercedes-Benz,AMG S 63 E Performance,Full-size,26,3.25,13.1,587,188,6.0,5.0
2024,Mercedes-Benz,GLE 450e 4MATIC SUV ,Sport utility vehicle: Standard,77,2.75,9.9,663,63,9.0,7.0
2024,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,74,2.25,10.0,687,69,9.0,7.0
2024,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Standard,61,6.5,9.0,626,70,9.0,7.0
2024,Toyota,Prius Prime SE,Mid-size,72,4.0,4.5,890,31,10.0,7.0
2024,Toyota,Prius Prime XSE,Mid-size,64,4.0,4.9,826,37,10.0,7.0
2024,Toyota,RAV4 Prime,Sport utility vehicle: Small,68,4.5,6.0,911,44,10.0,7.0
2024,Volvo,S60 T8 AWD Recharge,Compact,64,5.0,7.6,792,58,10.0,7.0
2024,Volvo,S90 T8 AWD Recharge,Mid-size,61,5.0,8.1,748,65,9.0,7.0
2024,Volvo,V60 T8 AWD Recharge,Station wagon: Small,64,5.0,7.6,792,58,10.0,7.0
2024,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,58,5.0,8.5,838,72,9.0,7.0
2024,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,53,5.0,8.9,803,82,9.0,7.0
