Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2018,Karma,Revero,Subcompact,60,3.75,11.5,328,94,10.0,1.0
2018,Kia,Optima Plug-in Hybrid,Mid-size,47,2.7,5.9,935,60,10.0,7.0
2018,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,21,1.9,9.3,541,146,9.0,7.0
2018,Mercedes-Benz,GLE 550e 4MATIC,Sport utility vehicle: Standard,19,1.9,11.1,719,184,7.0,6.0
2018,MINI,Cooper SE Countryman ALL4,Mid-size,19,3.0,8.6,420,139,9.0,3.0
2018,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,35,3.5,9.2,463,108,10.0,7.0
2018,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,23,3.0,10.6,768,160,8.0,3.0
2018,Toyota,Prius Prime,Mid-size,40,2.0,4.3,995,49,10.0,7.0
2018,Volvo,S90 T8 AWD,Mid-size,34,3.0,8.1,621,100,10.0,7.0
2018,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,27,3.0,9.4,534,133,9.0,7.0
2018,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,27,3.0,9.2,547,130,9.0,7.0
2019,BMW,530e,Compact,26,2.0,8.2,560,120,10.0,7.0
2019,BMW,530e xDrive,Compact,24,2.0,8.3,554,124,10.0,7.0
2019,BMW,740e xDrive,Full-size,23,3.0,8.8,525,133,9.0,3.0
2019,BMW,i3 REx (120 Ah),Subcompact,203,7.0,7.7,116,14,10.0,7.0
2019,BMW,i3s REx (120 Ah),Subcompact,203,7.0,7.7,116,14,10.0,7.0
2019,BMW,i8 Coupe,Subcompact,29,3.0,8.7,488,118,10.0,3.0
2019,BMW,i8 Roadster,Two-seater,29,3.0,8.7,488,118,10.0,3.0
2019,Chevrolet,Volt,Compact,85,4.5,5.6,591,32,10.0,7.0
2019,Chrysler,Pacifica Hybrid,Minivan,51,2.0,8.0,784,74,10.0,7.0
2019,Ford,Fusion Energi,Mid-size,42,2.6,5.6,940,61,10.0,7.0
2019,Honda,Clarity Plug-in Hybrid,Mid-size,77,2.5,5.6,475,36,10.0,8.0
2019,Hyundai,IONIQ Electric Plus,Mid-size,47,2.3,4.5,961,46,10.0,7.0
2019,Hyundai,Sonata Plug-in Hybrid,Mid-size,45,2.7,6.0,925,62,10.0,7.0
2019,Karma,Revero,Subcompact,60,3.75,11.5,328,94,10.0,1.0
2019,Kia,Niro Plug-in Hybrid,Station wagon: Small,42,2.25,5.1,853,56,10.0,7.0
2019,Kia,Optima Plug-in Hybrid,Mid-size,47,2.7,5.9,937,60,10.0,7.0
2019,Mercedes-Benz,GLC 350e 4MATIC,Sport utility vehicle: Small,21,1.9,9.3,541,146,9.0,7.0
2019,MINI,Cooper SE Countryman ALL4,Mid-size,19,3.0,8.6,420,139,9.0,3.0
2019,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,35,3.5,9.2,463,108,10.0,7.0
2019,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,21,3.0,11.2,669,177,7.0,3.0
2019,Porsche,Panamera 4 E-Hybrid,Full-size,23,3.0,10.5,768,158,8.0,5.0
2019,Porsche,Panamera Turbo S E-Hybrid,Full-size,23,3.0,11.5,695,180,7.0,3.0
2019,Toyota,Prius Prime,Mid-size,40,2.0,4.3,995,49,10.0,7.0
2019,Volvo,S90 T8 AWD,Mid-size,34,3.0,8.1,753,100,10.0,7.0
2019,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,27,3.0,9.0,779,128,9.0,7.0
2019,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,27,3.0,9.3,756,132,9.0,7.0
2020,Audi,Q5 TFSIe,Sport utility vehicle: Small,32,2.4,8.9,615,103,10.0,7.0
2020,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,29,3.0,12.6,602,153,8.0,3.0
2020,BMW,530e,Compact,34,3.0,8.7,533,106,10.0,7.0
2020,BMW,530e xDrive,Compact,31,3.0,9.3,500,120,10.0,7.0
2020,BMW,745Le xDrive,Full-size,26,3.0,10.8,435,152,8.0,3.0
2020,BMW,i3 REx (120 Ah),Subcompact,203,7.0,7.7,116,14,10.0,7.0
